volume,vw,open,close,high,low,timestamp,n,timestamp.1,EMA_13,EMA_48,EMA_200
1071.0,508.883,508.89,508.86,508.9,508.86,1709726280000,11.0,2024-03-06 06:58:00-05:00,508.9119430124796,508.87833842008246,508.18693658580025
25092.0,508.9189,508.9,508.87,509.05,508.82,1709726400000,125.0,2024-03-06 07:00:00-05:00,508.905951153554,508.8779980764056,508.1937332366879
10131.0,508.8719,508.87,508.9,508.91,508.82,1709726520000,74.0,2024-03-06 07:02:00-05:00,508.9051009887606,508.87889611410327,508.2007607666711
7477.0,508.8643,508.91,508.82,508.91,508.82,1709726640000,74.0,2024-03-06 07:04:00-05:00,508.892943704652,508.8764921910786,508.2069223510824
2818.0,509.019,508.9,509.14,509.14,508.9,1709726760000,40.0,2024-03-06 07:06:00-05:00,508.9282374611303,508.8872476118509,508.216206705798
5692.0,509.2175,509.16,509.31,509.31,509.15,1709726880000,65.0,2024-03-06 07:08:00-05:00,508.9827749666831,508.9045028113672,508.2270902211632
13153.0,509.3365,509.3,509.33,509.36,509.26,1709727000000,65.0,2024-03-06 07:10:00-05:00,509.0323785428712,508.9218700435562,508.2380644478183
11826.0,509.3912,509.32,509.42,509.43,509.32,1709727120000,69.0,2024-03-06 07:12:00-05:00,509.0877530367469,508.94220187851306,508.2498250005764
10331.0,509.4041,509.45,509.4,509.46,509.39,1709727240000,76.0,2024-03-06 07:14:00-05:00,509.132359745783,508.9608875161248,508.26126952793385
9773.0,509.3565,509.39,509.15,509.4,509.15,1709727360000,79.0,2024-03-06 07:16:00-05:00,509.1348797820997,508.9686063930176,508.27011261720816
1000.0,509.1757,509.21,509.15,509.24,509.15,1709727480000,26.0,2024-03-06 07:18:00-05:00,509.13703981322834,508.9760102137108,508.2788677155445
1843.0,509.138,509.14,509.06,509.18,509.06,1709727600000,33.0,2024-03-06 07:20:00-05:00,509.1260341256244,508.9794383682532,508.2866401760863
1815.0,509.1355,509.1,509.17,509.17,509.1,1709727720000,18.0,2024-03-06 07:22:00-05:00,509.1323149648209,508.98721639403874,508.2954298260755
496.0,509.08,509.07,509.09,509.09,509.07,1709727840000,9.0,2024-03-06 07:24:00-05:00,509.1262699698465,508.9914116432616,508.3033359969604
12460.0,509.0859,509.105,509.14,509.14,509.02,1709727960000,72.0,2024-03-06 07:26:00-05:00,509.1282314027257,508.9974764741489,508.311661011916
2128.0,509.187,509.19,509.2,509.2,509.13,1709728080000,27.0,2024-03-06 07:28:00-05:00,509.1384840594792,509.0057427405101,508.3205002058273
