volume,vw,open,close,high,low,timestamp,n,timestamp
7107,526.1056,526.08,526.12,526.13,526.07,1717505280000,75,2024-06-04 08:48:00-04:00
4850,526.1839,526.12,526.18,526.25,526.08,1717505400000,76,2024-06-04 08:50:00-04:00
3934,526.1958,526.19,526.21,526.22,526.17,1717505520000,57,2024-06-04 08:52:00-04:00
9978,526.1568,526.22,526.0214,526.22,526.0214,1717505640000,69,2024-06-04 08:54:00-04:00
3424,526.0655,526.01,526.08,526.1,526.01,1717505760000,66,2024-06-04 08:56:00-04:00
2881,526.0838,526.1,526.1,526.11,526.04,1717505880000,49,2024-06-04 08:58:00-04:00
9551,526.1862,526.18,526.17,526.22,526.14,1717506000000,78,2024-06-04 09:00:00-04:00
6169,526.1232,526.14,526.1,526.18,526.071,1717506120000,93,2024-06-04 09:02:00-04:00
14825,526.0825,526.07,526.08,526.1,526.03,1717506240000,94,2024-06-04 09:04:00-04:00
11116,526.0958,526.1,526.1,526.16,526.08,1717506360000,61,2024-06-04 09:06:00-04:00
15640,526.1251,526.08,526.15,526.17,526.04,1717506480000,87,2024-06-04 09:08:00-04:00
17415,526.1575,526.16,526.11,526.21,526.07,1717506600000,114,2024-06-04 09:10:00-04:00
66017,526.3961,526.16,526.46,526.51,526.16,1717506720000,227,2024-06-04 09:12:00-04:00
35440,526.4931,526.43,526.55,526.56,526.43,1717506840000,168,2024-06-04 09:14:00-04:00
13454,526.4625,526.5101,526.5,526.54,526.43,1717506960000,99,2024-06-04 09:16:00-04:00
18996,526.5207,526.5105,526.52,526.54,526.44,1717507080000,85,2024-06-04 09:18:00-04:00
11204,526.5701,526.55,526.56,526.64,526.53,1717507200000,92,2024-06-04 09:20:00-04:00
25869,526.5048,526.56,526.41,526.59,526.41,1717507320000,141,2024-06-04 09:22:00-04:00
19870,526.4678,526.42,526.49,526.5,526.41,1717507440000,138,2024-06-04 09:24:00-04:00
10847,526.4578,526.49,526.45,526.49,526.44,1717507560000,98,2024-06-04 09:26:00-04:00
5444,526.4834,526.45,526.48,526.53,526.45,1717507680000,74,2024-06-04 09:28:00-04:00
